id,primary,compound,resolution,climax,fa_len,tied,pacing
lovelace2021-ceo-celebrity,assumption-flip,[neglected-arena] # 前因空白（后果文献做了 20 年、前因没人做）,revelation,"Results——三主效应揭晓：非从众战略（0.18, p<.01）+ 人口学非典型（0.60, p<.05）+ 自我推广（0.11, p<.05）都驱动 celebrity——*",4,,后果→前因→假设解构→RQ；push-pull 双通道理论；climax=三主效应揭晓+绩效不显著；falling ac
lun2026-eo-double-edged,half-domain-gap,[] # variance-enhancing 是机制，非子类型,exploration,Results——EO→召回正相关揭晓（variance-enhancing 的下尾具象化——'product recalls arguably represent a break,3,,over-replicated' 引语开场（批评主流）→ 暗面空白→ experimentation 逻辑→ UET 整
malik2025-mixed-gambles,half-domain-gap,[] # 双轨机制（current→IM / prospective→反 IM）是理论结构，非子类型,exploration,"Results Table 3/4——双轨揭晓：current wealth → IM 战术（inattentive 0.002, p=.041 / silence 0.012, ",3,,Construct Preview 前置（非标准——战术先于理论）；双 DV 镜像呈现（Table 3/4 对位——in
malshe2015-finance-to-marketing,half-domain-gap,[counterevidence] # 主发现反直觉：杠杆对满意非单调（floodlight 双转折点）、H2c 方向与假设相反,exploration,Results 主效应：floodlight 双转折点（零交叉 ~65% leverage + 显著性交叉 ~95% + 90% CI 带）——杠杆对满意的符号随水平反转，非线性是,2,,Intro 三步文献 turn 自带节奏（源学科纵深慢 → 交叉流中速 → 半区 pivot 急转，'Recently.
mayo2022-ceo-tenure-recalls,half-domain-gap,[] # 双机制（blame-shift/hide）是理论结构，非子类型,exploration,"Results——H1 揭晓：Early Tenure 召回风险 +77%（β=0.57, p<.001）/Late Tenure −52%（β=−0.73, p<.001）——'",3,,代价开场→双机制文献→OM 空白→三分位设计；climax=H1 双系数揭晓（+77%/−52%）；falling ac
park2013-social-discrimination,neglected-arena,[counterevidence] # 逆马太效应（高地位少数群体更可能被责备——反直觉对照点）,exploration,Results Table 1：H1a/H1b——白男 source CEO 对少数族裔/女性 target CEO 显著更多内部归因（white×minority、male×fe,3,,P1 共识快铺 → P2 机制引入 → 跨层次展开 → 三贡献收束；Results 按 H1→H2（逆马太）→H3-H4
park2025-shareholder-litigation,paradigms-at-war,[] # 纯型（辩论=背景，knot=被掩盖的真实偏好）,arbitration,"Results Table 6——H1 揭晓：UD law 后 stakeholder initiatives +43%（β=0.534, p=.042）——约束放松揭示被掩盖的 ",4,,经典辩论→反事实 RQ→识别策略；climax=Table 6 主效应（+43% 揭晓）；falling action 
paruchuri2020-tip-of-the-brain,assumption-flip,[],revelation,Results：三向交互 Salience × Same category × Geographic proximity 正（p=.06）——危机热度 × 同类 × 同区 = 评分,3,,P2-P3 慢速解构 → P4 例外收窄 → P5 论点+预览 → climax 三向交互 → falling 特异性/
pfarrer2010-tale-of-two-assets,tangled-constructs,[] # 2×2 对比矩阵是布局而非子类型，纯型,revelation,Results 'Effects of Reputation and Celebrity on the Likelihood of Surprises'（Table 2/3）——H,4,,冷启动直接进文献共识（六段式均匀推进，无钩子蓄积）；Theory 2×2 对位排列（H1a/b↔H2a/b、H3a-3c
pollock2015-untangled,tangled-constructs,[assumption-flip] # 隐含假设错误：两构念可互换/单向因果,revelation,Results：堆叠非嵌套 Wald χ²（Weesie 1999，stack + vce(cluster) 恢复跨方程协方差）——H1a/H1b '哪个方向更强'的裁决瞬间,5,,Intro 四步文献对话自带节奏控制（让步慢 → 定义锚定中速 → 推测/系统分层收束）；Theory 把叙事预算集中在
pontikes2012-two-sides,irony-reversal,[consensus-puzzle],revelation,Results 主表：同一 IV 双独立模型镜像系数（consumer −101.5*** inverse rank vs VC +1.476*** funding；同图双线）——,2,,intro 前半是慢速加固（三情境堆积共识），修辞问处急转（pivot），Theory 快速结构化（镜像假设），clim
product-market-threats-common-ownership,overlooked-alternative,[] # 两假说净效应是裁决，非子类型,revelation,Results——净效应揭晓：共同所有权→fluidity↑（'greater product market fluidity'——'spurs dynamism in produ,3,,市场力量假说→'neglects' 声明→两假说→fluidity 引入→DiD；climax=效率胜出揭晓；falli
pupovac2025-recall-contagion,neglected-arena,[] # 两阶段筛选是机制，非子类型,revelation,Results——传染揭晓：制造商大召回→供应商 CAR −0.40%（'evidence supports supply-chain contagion from recalls,3,,互缠场景→传染链条→筛选理论→两阶段设计；climax=传染揭晓（−0.40%）；falling action 两阶段+
reporting-comparability-common-ownership,half-domain-gap,[] # 两机制是结构，非子类型,exploration,Results——溢出揭晓：共同所有权提升三类型 firm-pairs 的 FRC（直接 + 两溢出——'the effect of common ownership goes b,3,,可比性基础属性→直接已做→溢出空白→CII 规模→三效应→机制；climax=溢出揭晓；falling action 量
shen2022-political-ties,paradigms-at-war,[] # 拆地整合（获取/利用分解）是裁决方式，非子类型,arbitration,"Results——H1 揭晓：political ties 显著降低运营效率（b=−.339, p<.01——1.081%）——conventional wisdom 被翻——暗面",6,,Construct-first→实践悖论→分解论点→四调节框架；climax=H1 暗面揭晓（−.339——conven
shi2021-herding-advertising-disclosure,half-domain-gap,[] # 信息级联是机制，非子类型,exploration,Results——羊群揭晓：同行披露 +10%→本企披露概率 +4.8%-8.9%（'robust evidence for herding effects among peer ,3,,Apple 案例→FRR44 转折（Figure 1 V 型）→双 RQ→信息级联→部分重叠识别；climax=羊群揭晓
shipilov2020-publicity-good,assumption-flip,"[consensus-puzzle] # 文献预测""正面→抵制""被证据证伪（延伸预测被拒）",revelation,"Results Model 2/3——H1a 支持（负面自有报道→采纳：β=3.55, p=.002 [2007]；2.66, p=.036 [2008]）；",4,,replicate-then-flip 节奏（先 H1a/H2a 复现预期，再 H1b/H2b 翻出反直觉）；DiD 年
singh2023-lobbying-recalls,overlooked-alternative,[counterevidence] # Should-be-Yet 效率预期 vs Toyota 丑闻/数据反证（宏观事实对照点）,revelation,"Results Table 4——H1 首次揭晓：游说显著减少自愿召回（β=-2.473, p<.05）与强制召回（β=-.600, p<.01），且 'regulators do",3,,极简 4 段 Intro（无 Lit Turn/Theory Lens——Puzzle 直入的压缩节奏）；Theory 
toh2023-risky-business,irony-reversal,"[consensus-puzzle] # 共识""标准化降低不确定性""只在平均层面成立（Model 1 验证）——被无条件化",revelation,"Results Model 2——镜像揭晓：Standards Own 降低不确定性（t=−2.40, p=.017，全模型 −0.032/↓3.2%）vs Standards N",3,,8 段紧凑 Intro（共识→转折→概念创新→预览）；Theory 层级递进（ecosystem→firm）；clima
top-management-incentives-common-ownership,neglected-arena,[] # 激励合约传导是机制，非子类型,exploration,Results——核心预测揭晓：高管激励斜率随共同所有权水平变化（'the strength of top management incentives varies across ,3,,已记录未建模→机制引入→理论模型→多测量实证；climax=激励斜率随共同所有权变化揭晓；falling action 
vadakkepatt2022-dark-side-lobbying,overlooked-alternative,[] # ABV 注意力权衡是机制，非子类型,revelation,"Results——H2 揭晓：游说显著降低客户满意度（α=−8.37, p<.01——独立于游说可见性控制 −.14, p<.05——顾客不知情也受损）——暗面首揭",5,,Data-shock→Gap→ABV 透镜→调节预览→发现预览；climax=H2 暗面揭晓（−8.37）；fallin
wowak2015-throwing-caution,irony-reversal,"[neglected-arena, assumption-flip] # 产品安全成因空白 + 激励统一效应假设挑战",revelation,"Results——H1 揭晓：期权比例→召回发生率（dy/dx=0.17, p<.01 binary；1.52, p<.01 count）——'Throwing Caution t",4,,共识→悖论→big wins/big losses→延伸→J&J 案例收口；climax=H1 揭晓（dy/dx=0.1
wowak2025-politics-of-product-safety,paradigms-at-war,[] # 内层 mild Inadequacy（竞争假设）：两派价值观各自合理,dimension-split,Results 开头 model-free 均值预览：liberal 3.78 vs conservative 5.73 recalls；78.11 vs 55.39 days——,4,,model-free 均值预览先于 Table 4（两维度全景 → 系数细节——climax 前移的倒金字塔节奏）；fa
wu2025-activism-risk,half-domain-gap,[],exploration,Results：anti-SLAPP → institutional CSP β=0.22（p=.004，≈0.21 SD——Model 1 无控制版本防 bad controls,4,,P1 背景 → P2 引语急转（半区 pivot）→ Theory 立法史-风险-回应-调节四步 → climax 主效
zhao_ding2022-positioning-digital,overlooked-alternative,[] # 对称反向双轨是机制结构而非子类型,revelation,Results Table 3/4——双 DV 镜像揭晓：dissatisfaction 正（0.0642***）/heterogeneity 负（−0.334***）于 core,3,,Concept-Framework-First（~50% intro 篇幅建框架，无独立 Lit Turn/Tensio
zhou2017-state-ownership,paradigms-at-war,[counterevidence],arbitration,Results 开头：倒U 主结果揭晓（H1b/H1c/H3 双研究收敛）,3,,双研究序列制造两轮 rising/falling 起伏（Pollock 多研究节奏）：Study 1 commercia
